CD_GEOCMU	Municpio	PIB
1300029	Alvarães	217333
1300060	Amaturá	118872
1300086	Anamã	138599
1300102	Anori	248435
1300144	Apuí	297810
1300201	Atalaia do Norte	184947
1300300	Autazes	506341
1300409	Barcelos	245622
1300508	Barreirinha	344890
1300607	Benjamin Constant	388781
1300631	Beruri	211871
1300680	Boa Vista do Ramos	182412
1300706	Boca do Acre	512796
1300805	Borba	402131
1300839	Caapiranga	177894
1300904	Canutama	154316
1301001	Carauari	370657
1301100	Careiro	395194
1301159	Careiro da Várzea	413374
1301209	Coari	3380278
1301308	Codajás	531995
1301407	Eirunepé	568039
1301506	Envira	215527
1301605	Fonte Boa	222773
1301654	Guajará	177320
1301704	Humaitá	860168
1301803	Ipixuna	216519
1301852	Iranduba	1001862
1301902	Itacoatiara	2350463
1301951	Itamarati	135620
1302009	Itapiranga	152509
1302108	Japurá	85809
1302207	Juruá	138074
1302306	Jutaí	266377
1302405	Lábrea	625199
1302504	Manacapuru	1544675
1302553	Manaquiri	311335
1302603	Manaus	103281436
1302702	Manicoré	686279
1302801	Maraã	176217
1302900	Maués	595827
1303007	Nhamundá	207005
1303106	Nova Olinda do Norte	341652
1303205	Novo Airão	186533
1303304	Novo Aripuanã	252422
1303403	Parintins	1426984
1303502	Pauini	199541
1303536	Presidente Figueiredo	1031905
1303569	Rio Preto da Eva	407146
1303601	Santa Isabel do Rio Negro	185817
1303700	Santo Antônio do Içá	237314
1303809	São Gabriel da Cachoeira	423054
1303908	São Paulo de Olivença	334131
1303957	São Sebastião do Uatumã	136609
1304005	Silves	175042
1304062	Tabatinga	758036
1304104	Tapauá	239944
1304203	Tefé	1098392
1304237	Tonantins	185410
1304260	Uarini	229209
1304302	Urucará	205656
1304401	Urucurituba	232661
